R_mean,G_mean,B_mean,Agtron
56,42,33,35
184,170,151,95
173,121,83,65
201,165,119,85
85,55,45,45
40,30,35,35
25,22,32,25
163,109,75,65
151,96,72,55
116,70,62,45
77,42,36,35
64,39,37,25
143,81,52,55
114,59,39,55
89,46,34,45
88,59,53,45
75,53,48,53
50,39,36,25
34,27,26,25
237,165,71,95
222,116,38,95
218,124,43,85
198,86,31,75
152,75,35,65
132,66,31,55
108,48,22,45
72,33,16,35
36,17,10,25
154,82,47,65
120,92,63,85
112,66,45,55
151,112,77,85
131,96,70,85
138,92,59,75
124,83,61,75
130,94,67,75
125,88,63,75
155,107,67,65
199,130,73,85
157,101,67,75
70,33,28,35
70,34,30,35
61,32,29,35
33,14,13,25
150,136,101,95
188,154,104,95
162,126,88,95
130,102,75,85
95,80,70,65
137,108,71,95
187,135,80,85
155,89,53,75
109,62,41,65
82,48,36,55
71,36,26,45
64,36,29,45
72,43,36,35
60,35,30,35
37,25,26,25
85,61,50,55
123,82,55,75
138,123,99,95
29,20,19,25
56,37,32,45
73,48,37,65
144,139,95,95
148,138,93,95
170,125,60,75
96,62,38,65
64,46,34,55
164,125,63,95
116,74,42,85
74,54,38,65
39,37,35,35
158,125,66,95
126,81,43,85
77,55,40,75
49,43,38,35
151,131,79,95
135,85,40,75
76,52,35,55
50,39,33,45
147,97,44,85
84,58,38,75
