RGB_medio_cafe,R_medio_cafe,G_medio_cafe,B_medio_cafe,RGB_std_cafe,R_std_cafe,G_std_cafe,B_std_cafe,RGB_medio_folha,RGB_std_folha,HSV_medio_cafe,H_medio_cafe,S_medio_cafe,V_medio_cafe,HSV_std_cafe,H_std_cafe,S_std_cafe,V_std_cafe,HSV_medio_folha,HSV_std_folha,Agtron
102.266,83.611,99.832,123.355,77.038,61.861,73.106,88.513,159.221,78.615,71.73,11.325,80.51,123.355,69.172,2.032,11.163,88.513,61.452,85.001,Agtron 25
109.866,89.137,107.375,133.087,75.472,60.566,70.867,86.155,159.221,78.615,78.463,11.997,90.306,133.087,70.989,1.544,12.301,86.155,61.452,85.001,Agtron 25
109.046,104.819,110.785,111.535,88.779,84.614,90.163,91.263,159.221,78.615,59.283,40.626,25.688,111.535,68.7,33.497,22.384,91.263,61.452,85.001,Agtron 25
100.589,70.958,96.951,133.858,71.312,45.435,62.528,85.346,159.221,78.615,87.754,11.496,117.908,133.858,73.354,1.993,2.133,85.346,61.452,85.001,Agtron 35
101.469,68.739,99.584,136.085,72.598,46.495,65.022,84.55,159.221,78.615,95.459,13.469,136.824,136.085,76.633,0.808,19.611,84.55,61.452,85.001,Agtron 35
106.886,81.361,103.563,135.734,73.817,52.407,67.25,87.08,159.221,78.615,83.808,12.227,103.461,135.734,72.6,0.822,4.732,87.08,61.452,85.001,Agtron 35
96.559,62.786,92.641,134.25,69.804,38.55,58.88,84.19,159.221,78.615,92.782,11.646,132.45,134.25,75.281,1.645,5.91,84.19,61.452,85.001,Agtron 45
100.491,58.843,100.062,142.567,71.224,36.917,60.069,82.111,159.221,78.615,104.567,14.536,156.597,142.567,79.993,0.637,14.041,82.111,61.452,85.001,Agtron 45
99.344,65.103,96.574,136.356,70.916,40.612,61.469,84.318,159.221,78.615,94.799,12.813,135.227,136.356,75.817,1.048,7.115,84.318,61.452,85.001,Agtron 45
99.53,61.18,95.637,141.773,69.354,35.621,57.078,81.441,159.221,78.615,99.243,12.123,143.834,141.773,77.51,1.411,1.357,81.441,61.452,85.001,Agtron 55
104.141,59.176,103.486,149.761,71.734,35.78,58.735,81.265,159.221,78.615,108.198,14.408,160.427,149.761,81.724,0.851,13.416,81.265,61.452,85.001,Agtron 55
96.949,55.265,94.345,141.236,69.048,32.776,56.207,79.773,159.221,78.615,103.287,13.021,155.605,141.236,78.977,1.288,4.618,79.773,61.452,85.001,Agtron 55
95.505,52.095,95.313,139.107,70.311,33.023,58.64,80.724,159.221,78.615,104.182,14.143,159.295,139.107,79.452,1.507,7.412,80.724,61.452,85.001,Agtron 65
99.342,51.767,99.137,147.122,72.888,33.738,58.327,82.772,159.221,78.615,111.561,14.737,172.825,147.122,84.612,0.731,15.269,82.772,61.452,85.001,Agtron 65
98.935,49.976,100.519,146.312,72.049,31.113,58.279,81.022,159.221,78.615,111.928,15.401,174.072,146.312,83.864,0.918,13.145,81.022,61.452,85.001,Agtron 65
98.037,53.653,98.239,142.22,71.08,33.11,58.963,81.622,159.221,78.615,105.148,14.545,158.679,142.22,79.892,1.462,5.935,81.622,61.452,85.001,Agtron 75
96.891,48.817,98.366,143.491,70.739,30.999,57.442,79.161,159.221,78.615,110.707,15.219,173.41,143.491,82.69,1.128,10.977,79.161,61.452,85.001,Agtron 75
100.851,53.771,103.717,145.064,71.286,33.09,60.021,79.8,159.221,78.615,108.227,16.074,163.543,145.064,80.307,0.849,8.371,79.8,61.452,85.001,Agtron 85
98.243,79.459,95.387,119.883,74.605,60.098,70.572,85.302,138.169,80.481,74.595,11.926,91.975,119.883,67.611,0.796,12.496,85.302,59.619,74.442,Agtron 25
99.259,78.981,94.99,123.807,76.053,60.52,71.437,86.916,138.169,80.481,77.716,10.04,99.302,123.807,70.52,2.026,13.795,86.916,59.619,74.442,Agtron 25
71.023,66.102,70.175,76.792,84.917,78.188,83.769,91.891,138.169,80.481,32.025,4.927,14.357,76.792,62.812,5.973,17.494,91.891,59.619,74.442,Agtron 25
108.469,76.422,104.248,144.735,69.359,43.743,60.351,80.724,138.169,80.481,92.585,11.779,121.242,144.735,74.386,1.046,3.479,80.724,59.619,74.442,Agtron 35
91.049,62.605,86.549,123.993,72.77,47.799,63.899,87.201,138.169,80.481,89.232,11.149,132.554,123.993,75.146,1.083,12.384,87.201,59.619,74.442,Agtron 35
98.239,72.383,93.029,129.305,72.898,50.915,64.854,86.506,138.169,80.481,83.992,10.284,112.387,129.305,72.637,1.219,7.144,86.506,59.619,74.442,Agtron 35
99.828,64.292,95.119,140.074,67.117,35.579,54.929,79.538,138.169,80.481,95.936,11.778,135.955,140.074,75.208,1.096,3.04,79.538,59.619,74.442,Agtron 45
89.331,52.44,85.236,130.317,69.417,35.537,56.93,83.034,138.169,80.481,99.474,12.292,155.814,130.317,78.887,0.912,6.928,83.034,59.619,74.442,Agtron 45
94.75,61.869,89.974,132.406,70.328,40.259,59.553,84.551,138.169,80.481,92.917,11.181,135.164,132.406,75.707,1.504,4.329,84.551,59.619,74.442,Agtron 45
98.281,59.773,93.44,141.629,67.039,33.245,54.428,77.65,138.169,80.481,100.002,11.78,146.596,141.629,76.864,1.498,2.394,77.65,59.619,74.442,Agtron 55
91.036,50.475,86.697,135.935,69.452,33.173,55.057,81.602,138.169,80.481,104.252,12.388,164.433,135.935,81.222,0.799,8.184,81.602,59.619,74.442,Agtron 55
87.965,50.63,83.613,129.652,70.723,35.099,58.27,85.014,138.169,80.481,98.957,11.765,155.456,129.652,79.62,1.599,7.179,85.014,59.619,74.442,Agtron 55
