RGB_medio_cafe,R_medio_cafe,G_medio_cafe,B_medio_cafe,RGB_std_cafe,R_std_cafe,G_std_cafe,B_std_cafe,RGB_medio_folha,RGB_std_folha,HSV_medio_cafe,H_medio_cafe,S_medio_cafe,V_medio_cafe,HSV_std_cafe,H_std_cafe,S_std_cafe,V_std_cafe,HSV_medio_folha,HSV_std_folha,Agtron
36.95,29.801,35.86,45.189,19.72,16.001,18.142,21.479,137.209,2.295,50.56,15.58,90.904,45.195,40.989,23.007,34.201,21.478,56.688,59.264,Agtron 25
37.773,29.93,36.584,46.804,19.287,15.961,17.683,20.102,137.209,2.295,53.299,14.008,99.083,46.808,43.456,17.739,35.555,20.108,56.688,59.264,Agtron 25
28.889,27.537,28.915,30.214,17.863,16.881,17.742,18.814,137.209,2.295,31.559,35.385,28.671,30.62,34.957,47.878,31.639,18.677,56.688,59.264,Agtron 25
41.583,29.158,39.703,55.888,22.05,14.657,18.392,23.3,137.209,2.295,64.672,12.444,125.683,55.89,52.792,12.065,33.846,23.296,56.688,59.264,Agtron 35
44.603,29.154,43.396,61.26,23.142,15.379,18.903,22.252,137.209,2.295,71.9,13.155,141.285,61.261,58.267,5.316,35.825,22.251,56.688,59.264,Agtron 35
42.466,31.636,41.152,54.611,20.621,15.112,17.851,21.496,137.209,2.295,59.73,12.886,111.693,54.611,46.597,9.133,32.368,21.495,56.688,59.264,Agtron 35
45.189,28.85,43.294,63.422,25.488,14.48,20.277,26.926,137.209,2.295,72.403,12.476,141.309,63.423,58.407,7.658,32.105,26.924,56.688,59.264,Agtron 45
56.484,31.961,55.927,81.563,30.379,16.163,22.377,27.858,137.209,2.295,85.591,14.255,160.955,81.563,64.723,3.924,31.481,27.858,56.688,59.264,Agtron 45
44.757,28.769,43.331,62.169,24.067,14.762,19.441,24.104,137.209,2.295,72.343,12.816,142.042,62.17,58.406,4.693,33.551,24.103,56.688,59.264,Agtron 45
50.636,30.629,48.331,72.947,27.459,14.271,20.862,26.829,137.209,2.295,78.634,12.632,150.324,72.947,60.945,10.312,28.084,26.828,56.688,59.264,Agtron 55
60.002,32.811,59.624,87.57,31.83,16.202,22.39,27.858,137.209,2.295,88.907,14.477,164.676,87.57,65.769,4.064,30.026,27.858,56.688,59.264,Agtron 55
56.936,31.793,55.265,83.749,31.607,16.339,23.115,29.013,137.209,2.295,86.425,13.294,162.231,83.749,65.416,4.263,29.595,29.013,56.688,59.264,Agtron 55
54.201,28.712,53.923,79.969,31.732,16.576,23.851,29.385,137.209,2.295,87.537,14.543,168.096,79.972,67.731,5.398,31.534,29.388,56.688,59.264,Agtron 65
63.652,31.491,63.554,95.911,35.952,17.467,24.177,30.218,137.209,2.295,96.083,14.738,177.599,95.911,70.999,3.746,30.555,30.218,56.688,59.264,Agtron 65
58.905,28.804,59.077,88.834,32.382,14.527,20.988,26.314,137.209,2.295,93.621,14.966,177.064,88.834,69.861,3.687,27.627,26.314,56.688,59.264,Agtron 65
58.194,31.26,57.94,85.38,32.036,15.333,23.046,29.123,137.209,2.295,88.3,14.692,164.828,85.38,65.724,6.297,28.072,29.123,56.688,59.264,Agtron 75
70.684,34.626,70.665,106.762,39.968,18.249,26.931,33.648,137.209,2.295,99.627,14.765,177.353,106.762,71.243,3.176,28.121,33.648,56.688,59.264,Agtron 75
61.913,31.931,63.457,90.351,33.845,16.278,24.167,29.62,137.209,2.295,91.831,16.061,169.079,90.351,66.856,4.487,28.305,29.62,56.688,59.264,Agtron 85
41.127,32.881,39.883,50.616,26.608,23.474,25.473,27.649,238.083,7.533,54.339,13.338,99.056,50.622,45.091,14.578,37.785,27.655,91.074,106.087,Agtron 25
41.878,33.032,39.692,52.909,26.696,23.114,25.342,27.51,238.083,7.533,56.979,11.544,106.48,52.912,47.932,16.532,36.481,27.514,91.074,106.087,Agtron 25
33.48,31.438,33.195,35.809,34.094,31.925,34.333,35.772,238.083,7.533,37.55,40.063,36.368,36.219,44.429,55.385,39.596,35.733,91.074,106.087,Agtron 25
46.838,32.771,44.506,63.237,27.822,21.292,24.723,28.026,238.083,7.533,68.591,11.454,131.081,63.239,56.549,7.376,39.431,28.034,91.074,106.087,Agtron 35
52.744,35.348,49.694,73.19,29.37,21.591,24.741,27.919,238.083,7.533,74.988,11.252,140.521,73.191,59.101,5.351,36.201,27.921,91.074,106.087,Agtron 35
46.595,34.041,44.033,61.713,26.382,20.697,23.579,26.663,238.083,7.533,65.309,11.055,123.157,61.714,53.426,9.594,38.172,26.664,91.074,106.087,Agtron 35
49.92,32.444,47.193,70.122,29.263,19.192,24.305,29.814,238.083,7.533,74.738,11.577,142.516,70.122,60.581,7.511,38.214,29.814,91.074,106.087,Agtron 45
63.745,36.735,60.233,94.267,35.83,21.047,26.417,32.203,238.083,7.533,89.514,12.02,162.256,94.268,67.056,2.696,33.552,32.204,91.074,106.087,Agtron 45
53.671,35.131,50.421,75.46,30.491,20.932,25.257,29.732,238.083,7.533,76.515,11.157,142.927,75.461,60.397,6.141,36.581,29.735,91.074,106.087,Agtron 45
57.817,35.418,54.873,83.161,32.434,20.021,25.966,30.465,238.083,7.533,82.208,11.913,151.548,83.162,62.682,5.372,32.858,30.467,91.074,106.087,Agtron 55
66.373,35.886,62.976,100.258,37.275,20.461,25.827,31.519,238.083,7.533,94.137,12.439,169.714,100.258,69.362,2.146,31.798,31.521,91.074,106.087,Agtron 55
62.404,36.031,58.935,92.245,36.892,23.187,28.898,33.351,238.083,7.533,88.506,11.939,161.332,92.246,66.849,3.273,33.21,33.357,91.074,106.087,Agtron 55
62.212,37.257,60.848,88.531,40.39,32.226,35.196,36.046,238.083,7.533,86.701,13.738,157.824,88.541,66.27,3.894,38.366,36.091,91.074,106.087,Agtron 65
71.72,36.407,68.63,110.124,41.824,21.682,28.471,35.151,238.083,7.533,100.155,12.921,177.418,110.124,72.846,2.532,31.603,35.151,91.074,106.087,Agtron 65
67.175,35.43,65.558,100.538,36.45,19.238,24.853,29.573,238.083,7.533,94.664,13.756,169.697,100.538,67.993,2.023,27.926,29.576,91.074,106.087,Agtron 65
59.948,34.097,58.698,87.049,35.895,23.557,28.825,32.792,238.083,7.533,87.581,13.775,161.915,87.054,66.446,3.295,34.427,32.805,91.074,106.087,Agtron 75
74.746,35.092,72.455,116.691,47.399,24.355,33.167,41.349,238.083,7.533,105.614,13.439,186.713,116.692,77.538,2.736,33.508,41.351,91.074,106.087,Agtron 75
68.844,34.062,66.661,105.81,42.712,22.097,30.55,38.344,238.083,7.533,99.557,13.343,179.517,105.81,73.887,2.25,32.203,38.344,91.074,106.087,Agtron 75
58.565,31.885,59.136,84.675,34.075,21.565,26.931,29.986,238.083,7.533,88.542,15.338,165.613,84.676,66.572,2.775,32.78,29.993,91.074,106.087,Agtron 85
86.539,41.964,85.167,132.487,50.686,24.552,34.826,42.327,238.083,7.533,109.45,14.036,181.828,132.487,76.726,2.325,31.478,42.327,91.074,106.087,Agtron 85
105.719,61.958,109.554,145.644,50.431,29.565,38.291,42.023,238.083,7.533,105.186,16.929,152.979,145.649,69.393,2.154,31.057,42.028,91.074,106.087,Agtron 95
22.031,17.587,20.306,28.201,13.97,11.745,12.506,15.178,171.272,3.111,47.727,12.139,102.841,28.202,49.061,25.163,40.892,15.178,95.438,80.088,Agtron 25
27.28,17.604,24.235,40.002,18.675,11.822,14.946,20.455,171.272,3.111,65.847,8.85,148.688,40.002,65.28,7.831,39.055,20.455,95.438,80.088,Agtron 35
33.134,19.356,29.11,50.938,25.303,15.784,20.462,27.017,171.272,3.111,75.695,8.79,167.355,50.939,72.943,5.797,41.322,27.023,95.438,80.088,Agtron 45
37.633,20.22,33.583,59.097,27.567,16.363,21.923,27.408,171.272,3.111,82.581,9.784,178.861,59.097,76.12,4.543,38.606,27.408,95.438,80.088,Agtron 55
47.265,25.055,44.499,72.242,34.654,23.613,29.06,32.801,171.272,3.111,87.815,12.49,178.694,72.262,75.698,10.695,42.688,32.853,95.438,80.088,Agtron 65
45.189,21.565,42.172,71.83,33.735,19.788,26.706,32.131,171.272,3.111,90.655,12.127,188.0,71.837,78.579,9.446,37.469,32.152,95.438,80.088,Agtron 75
52.013,25.55,51.338,79.152,33.58,17.886,26.592,30.307,171.272,3.111,91.781,13.754,182.438,79.152,74.661,4.171,36.34,30.307,95.438,80.088,Agtron 85
17.743,12.171,16.379,24.678,14.158,11.555,12.762,14.965,170.377,4.298,57.915,10.488,138.579,24.679,62.58,7.164,40.157,14.972,67.679,74.406,Agtron 25
24.828,13.139,22.168,39.175,20.864,13.853,17.508,21.398,170.377,4.298,76.491,9.961,180.337,39.175,78.755,3.68,39.154,21.398,67.679,74.406,Agtron 35
32.17,15.214,28.609,52.686,27.94,17.531,23.161,27.877,170.377,4.298,84.88,10.054,191.901,52.686,82.373,4.608,38.324,27.877,67.679,74.406,Agtron 45
40.865,18.536,35.821,68.238,30.389,16.975,22.827,26.228,170.377,4.298,90.588,9.946,193.579,68.238,80.407,3.224,32.98,26.229,67.679,74.406,Agtron 55
50.688,24.276,48.599,79.189,39.342,30.095,33.583,33.098,170.377,4.298,94.596,12.846,191.751,79.19,80.587,3.967,44.854,33.098,67.679,74.406,Agtron 65
48.643,20.047,46.321,79.56,35.995,21.646,27.536,29.683,170.377,4.298,97.384,12.758,199.833,79.56,81.958,3.515,35.815,29.683,67.679,74.406,Agtron 75
52.286,21.205,52.3,83.354,35.844,20.389,26.929,27.968,170.377,4.298,98.743,14.548,198.326,83.354,79.972,3.413,33.912,27.969,67.679,74.406,Agtron 85
25.736,15.545,23.329,38.334,16.836,10.056,12.959,17.691,155.351,2.908,68.752,10.873,157.047,38.335,67.717,10.952,35.393,17.691,58.379,71.827,Agtron 25
22.051,15.21,20.858,30.084,13.659,10.095,11.543,14.553,155.351,2.908,58.698,12.187,133.822,30.085,58.708,9.532,37.572,14.551,58.379,71.827,Agtron 25
25.736,15.545,23.329,38.334,16.836,10.056,12.959,17.691,155.351,2.908,68.752,10.873,157.047,38.335,67.717,10.952,35.393,17.691,58.379,71.827,Agtron 35
33.632,18.126,30.654,52.116,23.333,12.008,17.748,24.148,155.351,2.908,77.934,11.148,170.539,52.116,72.107,10.115,34.788,24.148,58.379,71.827,Agtron 45
38.771,19.929,34.81,61.573,26.319,13.557,19.201,25.2,155.351,2.908,83.616,10.746,178.529,61.573,74.419,9.601,32.908,25.2,58.379,71.827,Agtron 55
42.519,21.922,39.737,65.899,28.012,16.104,21.205,25.815,155.351,2.908,84.937,11.992,176.919,65.899,72.947,8.175,32.958,25.815,58.379,71.827,Agtron 65
43.013,20.075,40.503,68.461,28.574,13.555,20.599,25.716,155.351,2.908,88.925,12.44,185.874,68.461,76.143,8.077,31.607,25.716,58.379,71.827,Agtron 75
47.178,22.994,45.705,72.835,29.292,14.109,21.522,25.818,155.351,2.908,88.807,13.363,180.224,72.835,72.919,6.407,30.662,25.818,58.379,71.827,Agtron 85
39.671,29.899,40.241,48.874,21.117,20.003,19.145,19.765,170.383,5.009,58.518,17.982,108.64,48.931,44.136,13.9,31.619,20.097,105.241,67.419,Agtron 25
42.472,27.946,42.315,57.154,22.253,17.741,18.702,19.862,170.383,5.009,70.047,15.752,137.227,57.161,55.367,12.782,31.776,19.908,105.241,67.419,Agtron 35
50.323,30.954,50.075,69.94,27.417,20.461,22.373,23.995,170.383,5.009,77.984,15.692,148.307,69.955,59.746,13.288,32.599,24.068,105.241,67.419,Agtron 45
54.814,32.134,54.481,77.826,27.796,17.923,21.048,22.572,170.383,5.009,82.559,14.73,155.12,77.827,61.562,6.823,30.418,22.574,105.241,67.419,Agtron 55
60.555,34.046,61.926,85.695,32.837,24.501,25.328,25.621,170.383,5.009,88.036,17.543,160.835,85.73,64.184,14.514,34.791,25.757,105.241,67.419,Agtron 65
61.343,33.799,64.024,86.207,30.154,18.757,21.859,22.673,170.383,5.009,87.93,17.52,160.06,86.209,62.244,7.706,29.764,22.679,105.241,67.419,Agtron 75
38.24,30.618,36.963,47.14,26.396,22.131,25.065,28.866,203.274,2.981,55.382,18.124,100.834,47.187,50.69,30.904,48.997,28.836,79.8,89.203,Agtron 25
38.975,31.871,37.357,47.699,27.743,23.599,26.471,30.368,203.274,2.981,56.996,23.516,99.684,47.789,52.445,42.016,50.411,30.281,79.8,89.203,Agtron 25
