H_mean,S_mean,V_mean,Agtron
43,113,59,Agtron 35
30,52,184,Agtron 95
16,134,173,Agtron 65
20,105,201,Agtron 85
31,122,85,Agtron 45
112,106,43,Agtron 35
123,118,33,Agtron 25
22,145,163,Agtron 65
22,140,152,Agtron 55
43,135,116,Agtron 45
42,161,78,Agtron 35
55,156,66,Agtron 25
13,171,143,Agtron 55
12,183,114,Agtron 55
19,177,89,Agtron 45
43,113,88,Agtron 45
42,110,76,Agtron 55
37,107,51,Agtron 25
33,107,34,Agtron 25
17,181,237,Agtron 95
12,214,222,Agtron 95
13,208,218,Agtron 85
9,220,198,Agtron 75
10,210,152,Agtron 65
10,213,132,Agtron 55
8,222,108,Agtron 45
12,224,72,Agtron 35
12,208,36,Agtron 25
12,192,154,Agtron 65
17,147,120,Agtron 85
14,171,112,Agtron 55
15,145,151,Agtron 85
15,144,132,Agtron 85
14,167,138,Agtron 75
16,157,124,Agtron 75
15,148,130,Agtron 75
14,147,125,Agtron 75
14,160,155,Agtron 65
14,172,200,Agtron 85
14,166,157,Agtron 75
17,171,70,Agtron 35
30,158,70,Agtron 35
33,161,61,Agtron 35
35,172,33,Agtron 25
22,87,151,Agtron 95
18,118,188,Agtron 95
17,120,162,Agtron 95
16,107,130,Agtron 85
23,67,95,Agtron 65
18,137,137,Agtron 95
15,156,187,Agtron 85
14,174,155,Agtron 75
26,164,110,Agtron 65
35,152,82,Agtron 55
31,168,71,Agtron 45
41,149,64,Agtron 45
35,141,72,Agtron 35
42,141,60,Agtron 35
99,114,38,Agtron 25
15,132,86,Agtron 55
12,153,123,Agtron 75
18,85,138,Agtron 95
35,112,29,Agtron 25
11,134,56,Agtron 45
9,143,73,Agtron 65
29,94,146,Agtron 95
26,99,149,Agtron 95
18,166,170,Agtron 75
22,145,97,Agtron 65
39,120,66,Agtron 55
19,159,164,Agtron 95
19,158,116,Agtron 85
35,119,76,Agtron 65
68,93,45,Agtron 35
20,151,158,Agtron 95
17,165,126,Agtron 85
32,118,78,Agtron 75
54,94,53,Agtron 35
23,124,151,Agtron 95
18,173,135,Agtron 75
31,131,78,Agtron 55
47,106,53,Agtron 45
17,175,147,Agtron 85
28,132,85,Agtron 75
