ID,Device,Height,Width,Num_sample,Lighting_condition,R_mean,G_mean,B_mean,Paper_R_mean,Paper_G_mean,Paper_B_mean,H_mean,S_mean,V_mean,Paper_H_mean,Paper_S_mean,Paper_V_mean,Agtron_value,File,Path
0,iPhone 8,820,820,1,Luz,30,36,45,167,173,176,107,91,45,101,13,176,25,25_1.png,.\photos\iPhone 8\Luz\Cafe\25_1.png
1,iPhone 8,936,1080,2,Luz,30,37,47,135,138,139,108,99,47,99,8,139,25,25_2.png,.\photos\iPhone 8\Luz\Cafe\25_2.png
2,iPhone 8,936,1080,3,Luz,28,29,30,135,138,139,61,29,31,99,8,139,25,25_3.png,.\photos\iPhone 8\Luz\Cafe\25_3.png
3,iPhone 8,820,820,1,Luz,29,40,56,167,173,176,108,126,56,101,13,176,35,35_1.png,.\photos\iPhone 8\Luz\Cafe\35_1.png
4,iPhone 8,936,1080,2,Luz,29,43,61,135,138,139,107,141,61,99,8,139,35,35_2.png,.\photos\iPhone 8\Luz\Cafe\35_2.png
5,iPhone 8,936,1080,3,Luz,32,41,55,135,138,139,107,112,55,99,8,139,35,35_3.png,.\photos\iPhone 8\Luz\Cafe\35_3.png
6,iPhone 8,820,820,1,Luz,29,43,63,167,173,176,108,141,63,101,13,176,45,45_1.png,.\photos\iPhone 8\Luz\Cafe\45_1.png
7,iPhone 8,936,1080,2,Luz,32,56,82,135,138,139,106,161,82,99,8,139,45,45_2.png,.\photos\iPhone 8\Luz\Cafe\45_2.png
8,iPhone 8,936,1080,3,Luz,29,43,62,135,138,139,107,142,62,99,8,139,45,45_3.png,.\photos\iPhone 8\Luz\Cafe\45_3.png
9,iPhone 8,820,820,1,Luz,31,48,73,167,173,176,108,150,73,101,13,176,55,55_1.png,.\photos\iPhone 8\Luz\Cafe\55_1.png
10,iPhone 8,936,1080,2,Luz,33,60,88,135,138,139,106,165,88,99,8,139,55,55_2.png,.\photos\iPhone 8\Luz\Cafe\55_2.png
11,iPhone 8,936,1080,3,Luz,32,55,84,135,138,139,107,162,84,99,8,139,55,55_3.png,.\photos\iPhone 8\Luz\Cafe\55_3.png
12,iPhone 8,820,820,1,Luz,29,54,80,167,173,176,106,168,80,101,13,176,65,65_1.png,.\photos\iPhone 8\Luz\Cafe\65_1.png
13,iPhone 8,936,1080,2,Luz,31,64,96,135,138,139,105,178,96,99,8,139,65,65_2.png,.\photos\iPhone 8\Luz\Cafe\65_2.png
14,iPhone 8,936,1080,3,Luz,29,59,89,135,138,139,105,177,89,99,8,139,65,65_3.png,.\photos\iPhone 8\Luz\Cafe\65_3.png
15,iPhone 8,820,820,1,Luz,31,58,85,167,173,176,106,165,85,101,13,176,75,75_1.png,.\photos\iPhone 8\Luz\Cafe\75_1.png
16,iPhone 8,936,1080,3,Luz,35,71,107,135,138,139,105,177,107,99,8,139,75,75_3.png,.\photos\iPhone 8\Luz\Cafe\75_3.png
17,iPhone 8,820,820,1,Luz,32,63,90,167,173,176,104,169,90,101,13,176,85,85_1.png,.\photos\iPhone 8\Luz\Cafe\85_1.png
18,iPhone 8,820,820,1,Flash,33,40,51,232,239,237,108,99,51,83,6,239,25,25_1.png,.\photos\iPhone 8\Flash\Cafe\25_1.png
19,iPhone 8,936,1080,2,Flash,33,40,53,230,237,240,110,106,53,97,10,240,25,25_2.png,.\photos\iPhone 8\Flash\Cafe\25_2.png
20,iPhone 8,936,1080,3,Flash,31,33,36,234,240,240,67,36,36,94,7,241,25,25_3.png,.\photos\iPhone 8\Flash\Cafe\25_3.png
21,iPhone 8,820,820,1,Flash,33,45,63,232,239,237,109,131,63,83,6,239,35,35_1.png,.\photos\iPhone 8\Flash\Cafe\35_1.png
22,iPhone 8,936,1080,2,Flash,35,50,73,230,237,240,109,141,73,97,10,240,35,35_2.png,.\photos\iPhone 8\Flash\Cafe\35_2.png
23,iPhone 8,936,1080,3,Flash,34,44,62,234,240,240,110,123,62,94,7,241,35,35_3.png,.\photos\iPhone 8\Flash\Cafe\35_3.png
24,iPhone 8,820,820,1,Flash,32,47,70,232,239,237,109,143,70,83,6,239,45,45_1.png,.\photos\iPhone 8\Flash\Cafe\45_1.png
25,iPhone 8,936,1080,2,Flash,37,60,94,230,237,240,108,162,94,97,10,240,45,45_2.png,.\photos\iPhone 8\Flash\Cafe\45_2.png
26,iPhone 8,936,1080,3,Flash,35,50,75,234,240,240,109,143,75,94,7,241,45,45_3.png,.\photos\iPhone 8\Flash\Cafe\45_3.png
27,iPhone 8,820,820,1,Flash,35,55,83,232,239,237,108,152,83,83,6,239,55,55_1.png,.\photos\iPhone 8\Flash\Cafe\55_1.png
28,iPhone 8,936,1080,2,Flash,36,63,100,230,237,240,108,170,100,97,10,240,55,55_2.png,.\photos\iPhone 8\Flash\Cafe\55_2.png
29,iPhone 8,936,1080,3,Flash,36,59,92,234,240,240,108,161,92,94,7,241,55,55_3.png,.\photos\iPhone 8\Flash\Cafe\55_3.png
30,iPhone 8,820,820,1,Flash,37,61,89,232,239,237,106,158,89,83,6,239,65,65_1.png,.\photos\iPhone 8\Flash\Cafe\65_1.png
31,iPhone 8,936,1080,2,Flash,36,69,110,230,237,240,107,177,110,97,10,240,65,65_2.png,.\photos\iPhone 8\Flash\Cafe\65_2.png
32,iPhone 8,936,1080,3,Flash,35,66,101,234,240,240,106,170,101,94,7,241,65,65_3.png,.\photos\iPhone 8\Flash\Cafe\65_3.png
33,iPhone 8,820,820,1,Flash,34,59,87,232,239,237,106,162,87,83,6,239,75,75_1.png,.\photos\iPhone 8\Flash\Cafe\75_1.png
34,iPhone 8,936,1080,2,Flash,35,72,117,230,237,240,107,187,117,97,10,240,75,75_2.png,.\photos\iPhone 8\Flash\Cafe\75_2.png
35,iPhone 8,936,1080,3,Flash,34,67,106,234,240,240,107,180,106,94,7,241,75,75_3.png,.\photos\iPhone 8\Flash\Cafe\75_3.png
36,iPhone 8,820,820,1,Flash,32,59,85,232,239,237,105,166,85,83,6,239,85,85_1.png,.\photos\iPhone 8\Flash\Cafe\85_1.png
37,iPhone 8,936,1080,2,Flash,42,85,132,230,237,240,106,182,132,97,10,240,85,85_2.png,.\photos\iPhone 8\Flash\Cafe\85_2.png
38,iPhone 8,936,1080,2,Flash,62,110,146,230,237,240,103,153,146,97,10,240,95,95_2.png,.\photos\iPhone 8\Flash\Cafe\95_2.png
39,Motorola X4,820,820,1,Luz,18,20,28,172,171,172,112,103,28,106,2,172,25,25_1.png,.\photos\Motorola X4\Luz\Cafe\25_1.png
40,Motorola X4,820,820,1,Luz,18,24,40,172,171,172,112,149,40,106,2,172,35,35_1.png,.\photos\Motorola X4\Luz\Cafe\35_1.png
41,Motorola X4,820,820,1,Luz,19,29,51,172,171,172,111,167,51,106,2,172,45,45_1.png,.\photos\Motorola X4\Luz\Cafe\45_1.png
42,Motorola X4,820,820,1,Luz,20,34,59,172,171,172,110,179,59,106,2,172,55,55_1.png,.\photos\Motorola X4\Luz\Cafe\55_1.png
43,Motorola X4,820,820,1,Luz,25,44,72,172,171,172,108,179,72,106,2,172,65,65_1.png,.\photos\Motorola X4\Luz\Cafe\65_1.png
44,Motorola X4,820,820,1,Luz,22,42,72,172,171,172,108,188,72,106,2,172,75,75_1.png,.\photos\Motorola X4\Luz\Cafe\75_1.png
45,Motorola X4,820,820,1,Luz,26,51,79,172,171,172,106,182,79,106,2,172,85,85_1.png,.\photos\Motorola X4\Luz\Cafe\85_1.png
