RGB_medio_cafe,R_medio_cafe,G_medio_cafe,B_medio_cafe,RGB_std_cafe,R_std_cafe,G_std_cafe,B_std_cafe,RGB_medio_folha,RGB_std_folha,HSV_medio_cafe,H_medio_cafe,S_medio_cafe,V_medio_cafe,HSV_std_cafe,H_std_cafe,S_std_cafe,V_std_cafe,HSV_medio_folha,HSV_std_folha,Agtron
98.243,79.459,95.387,119.883,74.605,60.098,70.572,85.302,140.425,86.369,74.595,11.926,91.975,119.883,67.611,0.796,12.496,85.302,65.974,76.15,Agtron 25
99.259,78.981,94.99,123.807,76.053,60.52,71.437,86.916,140.762,77.332,77.716,10.04,99.302,123.807,70.52,2.026,13.795,86.916,59.563,74.413,Agtron 25
71.023,66.102,70.175,76.792,84.917,78.188,83.769,91.891,138.169,80.481,32.025,4.927,14.357,76.792,62.812,5.973,17.494,91.891,59.619,74.442,Agtron 25
108.469,76.422,104.248,144.735,69.359,43.743,60.351,80.724,140.425,86.369,92.585,11.779,121.242,144.735,74.386,1.046,3.479,80.724,65.974,76.15,Agtron 35
91.049,62.605,86.549,123.993,72.77,47.799,63.899,87.201,140.762,77.332,89.232,11.149,132.554,123.993,75.146,1.083,12.384,87.201,59.563,74.413,Agtron 35
98.239,72.383,93.029,129.305,72.898,50.915,64.854,86.506,138.169,80.481,83.992,10.284,112.387,129.305,72.637,1.219,7.144,86.506,59.619,74.442,Agtron 35
99.828,64.292,95.119,140.074,67.117,35.579,54.929,79.538,140.425,86.369,95.936,11.778,135.955,140.074,75.208,1.096,3.04,79.538,65.974,76.15,Agtron 45
89.331,52.44,85.236,130.317,69.417,35.537,56.93,83.034,140.762,77.332,99.474,12.292,155.814,130.317,78.887,0.912,6.928,83.034,59.563,74.413,Agtron 45
94.75,61.869,89.974,132.406,70.328,40.259,59.553,84.551,138.169,80.481,92.917,11.181,135.164,132.406,75.707,1.504,4.329,84.551,59.619,74.442,Agtron 45
98.281,59.773,93.44,141.629,67.039,33.245,54.428,77.65,140.425,86.369,100.002,11.78,146.596,141.629,76.864,1.498,2.394,77.65,65.974,76.15,Agtron 55
91.036,50.475,86.697,135.935,69.452,33.173,55.057,81.602,140.762,77.332,104.252,12.388,164.433,135.935,81.222,0.799,8.184,81.602,59.563,74.413,Agtron 55
87.965,50.63,83.613,129.652,70.723,35.099,58.27,85.014,138.169,80.481,98.957,11.765,155.456,129.652,79.62,1.599,7.179,85.014,59.619,74.442,Agtron 55
89.388,52.697,88.084,127.381,73.881,42.754,64.497,87.155,140.425,86.369,97.819,13.446,152.63,127.381,79.375,2.432,17.385,87.155,65.974,76.15,Agtron 65
91.614,47.02,88.889,138.933,69.749,31.094,54.738,79.978,140.762,77.332,108.608,13.355,173.537,138.933,83.095,0.75,10.425,79.978,59.563,74.413,Agtron 65
92.707,49.296,90.919,137.905,69.93,31.131,55.866,81.546,138.169,80.481,105.956,14.038,165.924,137.905,81.124,0.613,5.212,81.546,59.619,74.442,Agtron 65
96.941,54.507,96.076,140.24,71.286,34.844,59.674,82.424,140.425,86.369,103.122,14.083,155.042,140.24,79.381,1.554,10.321,82.424,65.974,76.15,Agtron 75
90.623,43.623,88.404,139.841,71.225,30.73,54.342,81.763,140.762,77.332,112.118,13.925,182.588,139.841,86.175,0.385,14.708,81.763,59.563,74.413,Agtron 75
92.268,45.882,90.182,140.741,69.64,29.514,53.688,79.31,138.169,80.481,109.786,13.72,174.895,140.741,83.242,0.754,8.429,79.31,59.619,74.442,Agtron 75
95.663,51.458,97.322,138.21,71.403,33.513,61.479,81.396,140.425,86.369,105.583,15.388,163.151,138.21,80.02,1.242,8.298,81.396,65.974,76.15,Agtron 85
93.898,46.971,93.029,141.693,70.701,31.651,56.536,79.44,140.762,77.332,111.311,14.304,177.934,141.693,84.291,0.764,15.218,79.44,59.563,74.413,Agtron 85
105.099,63.233,109.672,142.392,71.125,39.929,64.134,79.399,140.762,77.332,102.533,17.228,147.978,142.392,76.165,0.851,12.944,79.399,59.563,74.413,Agtron 95
102.266,83.611,99.832,123.355,77.038,61.861,73.106,88.513,158.38,73.585,71.73,11.325,80.51,123.355,69.172,2.032,11.163,88.513,65.375,80.789,Agtron 25
109.866,89.137,107.375,133.087,75.472,60.566,70.867,86.155,159.221,78.615,78.463,11.997,90.306,133.087,70.989,1.544,12.301,86.155,61.452,85.001,Agtron 25
109.046,104.819,110.785,111.535,88.779,84.614,90.163,91.263,159.221,78.615,59.283,40.626,25.688,111.535,68.7,33.497,22.384,91.263,61.452,85.001,Agtron 25
100.589,70.958,96.951,133.858,71.312,45.435,62.528,85.346,158.38,73.585,87.754,11.496,117.908,133.858,73.354,1.993,2.133,85.346,65.375,80.789,Agtron 35
101.469,68.739,99.584,136.085,72.598,46.495,65.022,84.55,159.221,78.615,95.459,13.469,136.824,136.085,76.633,0.808,19.611,84.55,61.452,85.001,Agtron 35
106.886,81.361,103.563,135.734,73.817,52.407,67.25,87.08,159.221,78.615,83.808,12.227,103.461,135.734,72.6,0.822,4.732,87.08,61.452,85.001,Agtron 35
96.559,62.786,92.641,134.25,69.804,38.55,58.88,84.19,158.38,73.585,92.782,11.646,132.45,134.25,75.281,1.645,5.91,84.19,65.375,80.789,Agtron 45
100.491,58.843,100.062,142.567,71.224,36.917,60.069,82.111,159.221,78.615,104.567,14.536,156.597,142.567,79.993,0.637,14.041,82.111,61.452,85.001,Agtron 45
99.344,65.103,96.574,136.356,70.916,40.612,61.469,84.318,159.221,78.615,94.799,12.813,135.227,136.356,75.817,1.048,7.115,84.318,61.452,85.001,Agtron 45
99.53,61.18,95.637,141.773,69.354,35.621,57.078,81.441,158.38,73.585,99.243,12.123,143.834,141.773,77.51,1.411,1.357,81.441,65.375,80.789,Agtron 55
104.141,59.176,103.486,149.761,71.734,35.78,58.735,81.265,159.221,78.615,108.198,14.408,160.427,149.761,81.724,0.851,13.416,81.265,61.452,85.001,Agtron 55
96.949,55.265,94.345,141.236,69.048,32.776,56.207,79.773,159.221,78.615,103.287,13.021,155.605,141.236,78.977,1.288,4.618,79.773,61.452,85.001,Agtron 55
95.505,52.095,95.313,139.107,70.311,33.023,58.64,80.724,158.38,73.585,104.182,14.143,159.295,139.107,79.452,1.507,7.412,80.724,65.375,80.789,Agtron 65
99.342,51.767,99.137,147.122,72.888,33.738,58.327,82.772,159.221,78.615,111.561,14.737,172.825,147.122,84.612,0.731,15.269,82.772,61.452,85.001,Agtron 65
98.935,49.976,100.519,146.312,72.049,31.113,58.279,81.022,159.221,78.615,111.928,15.401,174.072,146.312,83.864,0.918,13.145,81.022,61.452,85.001,Agtron 65
98.037,53.653,98.239,142.22,71.08,33.11,58.963,81.622,158.38,73.585,105.148,14.545,158.679,142.22,79.892,1.462,5.935,81.622,65.375,80.789,Agtron 75
96.891,48.817,98.366,143.491,70.739,30.999,57.442,79.161,159.221,78.615,110.707,15.219,173.41,143.491,82.69,1.128,10.977,79.161,61.452,85.001,Agtron 75
100.851,53.771,103.717,145.064,71.286,33.09,60.021,79.8,158.38,73.585,108.227,16.074,163.543,145.064,80.307,0.849,8.371,79.8,65.375,80.789,Agtron 85
101.831,80.464,99.067,125.961,75.222,59.767,70.754,85.735,151.403,76.826,78.454,10.988,98.413,125.961,70.126,2.859,13.68,85.735,63.767,78.063,Agtron 25
95.763,76.526,92.31,118.453,76.505,61.454,72.428,87.407,143.622,81.842,75.595,9.409,98.925,118.453,69.804,3.307,14.322,87.407,62.726,76.383,Agtron 25
72.966,67.557,72.745,78.597,85.458,78.967,85.283,91.319,150.708,77.778,64.053,65.225,48.338,78.597,61.173,47.86,11.691,91.319,64.479,77.811,Agtron 25
98.391,66.655,94.496,134.022,72.071,45.761,62.531,85.361,151.403,76.826,93.117,11.21,134.12,134.022,76.396,2.447,12.38,85.361,63.767,78.063,Agtron 35
97.78,65.72,93.677,133.944,71.084,45.675,62.335,82.671,143.622,81.842,95.917,11.882,141.925,133.944,77.243,1.116,20.953,82.671,62.726,76.383,Agtron 35
96.404,71.72,91.896,125.596,72.561,51.039,65.048,86.472,150.708,77.778,84.406,10.794,116.827,125.596,72.555,1.138,12.154,86.472,64.479,77.811,Agtron 35
96.634,58.096,92.655,139.151,70.012,35.952,58.282,81.895,151.403,76.826,100.905,12.146,151.417,139.151,78.871,1.543,7.754,81.895,63.767,78.063,Agtron 45
94.449,54.639,91.928,136.78,70.25,37.505,58.874,80.926,143.622,81.842,103.463,13.241,160.369,136.78,80.053,1.005,13.682,80.926,62.726,76.383,Agtron 45
95.253,60.59,91.245,133.924,68.704,38.28,57.768,81.519,150.708,77.778,95.415,12.022,140.3,133.924,75.523,1.276,3.511,81.519,64.479,77.811,Agtron 45
93.824,52.361,91.091,138.02,70.476,34.139,59.379,80.804,151.403,76.826,104.729,12.654,163.514,138.02,81.133,2.149,13.113,80.804,63.767,78.063,Agtron 55
95.514,52.72,93.492,140.33,70.499,34.847,58.532,80.164,143.622,81.842,106.647,13.45,166.162,140.33,81.666,1.243,14.766,80.164,62.726,76.383,Agtron 55
93.111,50.45,89.506,139.378,70.159,32.861,57.158,80.288,150.708,77.778,106.682,12.5,168.168,139.378,82.257,1.742,11.382,80.288,64.479,77.811,Agtron 55
94.431,52.236,94.727,136.331,70.977,36.845,60.583,80.927,151.403,76.826,105.062,14.603,164.251,136.331,80.471,1.367,14.558,80.927,63.767,78.063,Agtron 65
96.409,48.911,96.306,144.009,71.924,33.386,58.514,80.367,143.622,81.842,111.615,14.457,176.378,144.009,84.446,1.089,15.812,80.367,62.726,76.383,Agtron 65
95.572,47.521,95.396,143.8,70.914,30.034,56.973,79.395,150.708,77.778,111.611,14.523,176.511,143.8,83.949,1.102,12.781,79.395,64.479,77.811,Agtron 65
94.533,48.27,93.951,141.378,71.301,33.053,58.762,79.818,151.403,76.826,110.458,14.202,175.793,141.378,83.936,1.502,16.518,79.818,63.767,78.063,Agtron 75
98.063,48.679,100.177,145.334,72.826,34.641,60.481,79.843,143.622,81.842,113.268,15.436,179.033,145.334,85.008,1.299,19.442,79.843,62.726,76.383,Agtron 75
96.557,47.208,97.731,144.732,72.096,32.466,59.605,78.924,150.708,77.778,112.481,14.745,177.966,144.732,84.294,1.667,14.272,78.924,64.479,77.811,Agtron 75
101.433,54.311,104.84,145.148,71.389,34.314,61.702,78.497,151.403,76.826,108.993,16.126,165.704,145.148,80.647,1.459,14.153,78.497,63.767,78.063,Agtron 85
100.059,52.452,103.039,144.687,72.857,36.833,62.925,79.633,143.622,81.842,111.259,15.841,173.25,144.687,83.375,1.451,21.119,79.633,62.726,76.383,Agtron 85
112.256,71.847,118.79,146.132,74.265,47.275,70.296,80.91,143.622,81.842,101.636,18.4,140.377,146.132,76.147,1.554,20.913,80.91,62.726,76.383,Agtron 95
102.762,82.595,99.762,125.928,75.487,59.897,71.377,86.372,153.114,83.59,77.921,10.982,96.853,125.928,70.496,1.368,17.415,86.372,67.102,80.358,Agtron 25
96.965,79.752,94.083,117.059,77.497,63.695,73.782,88.365,148.039,78.113,82.366,49.268,80.772,117.059,70.293,67.828,10.623,88.365,73.276,76.269,Agtron 25
90.765,86.666,90.356,95.273,88.77,84.329,88.768,92.801,155.251,80.162,64.356,47.983,49.714,95.371,66.956,46.27,34.944,92.967,69.424,80.462,Agtron 25
