RGB_medio_cafe,R_medio_cafe,G_medio_cafe,B_medio_cafe,RGB_std_cafe,R_std_cafe,G_std_cafe,B_std_cafe,RGB_medio_folha,RGB_std_folha,HSV_medio_cafe,H_medio_cafe,S_medio_cafe,V_medio_cafe,HSV_std_cafe,H_std_cafe,S_std_cafe,V_std_cafe,HSV_medio_folha,HSV_std_folha,Agtron
41.131,32.884,39.886,50.622,25.758,22.524,24.581,26.819,236.019,5.924,53.57,13.009,97.073,50.627,42.825,12.793,32.749,26.824,93.953,103.065,Agtron 25
41.878,33.032,39.692,52.91,25.428,21.67,24.001,26.257,235.781,7.145,55.994,11.001,104.069,52.912,45.326,13.788,30.637,26.261,90.785,105.457,Agtron 25
33.481,31.438,33.196,35.809,32.391,30.127,32.631,34.14,238.086,7.482,36.367,39.153,33.743,36.205,41.547,53.85,33.191,34.093,91.072,106.085,Agtron 25
46.84,32.773,44.507,63.239,26.798,19.979,23.562,26.979,236.019,5.924,67.888,11.376,129.048,63.24,54.473,6.153,34.353,26.987,93.953,103.065,Agtron 35
52.747,35.349,49.696,73.194,28.224,20.07,23.367,26.664,235.781,7.145,74.291,11.189,138.49,73.195,57.043,3.746,30.53,26.666,90.785,105.457,Agtron 35
46.597,34.041,44.035,61.715,25.008,18.98,22.025,25.259,238.086,7.482,64.339,10.839,120.463,61.716,50.588,7.297,31.098,25.26,91.072,106.085,Agtron 35
49.92,32.446,47.192,70.122,28.21,17.609,23.025,28.746,236.019,5.924,74.04,11.464,140.535,70.122,58.622,5.867,33.108,28.746,93.953,103.065,Agtron 45
63.743,36.732,60.231,94.266,34.69,19.128,24.846,30.877,235.781,7.145,88.955,12.031,160.567,94.266,65.411,2.291,28.343,30.877,90.785,105.457,Agtron 45
53.675,35.136,50.427,75.463,28.999,18.785,23.43,28.144,238.086,7.482,75.689,11.077,140.525,75.464,58.016,4.36,30.132,28.146,91.072,106.085,Agtron 45
57.818,35.42,54.872,83.161,31.47,18.461,24.752,29.412,236.019,5.924,81.727,11.87,150.149,83.162,61.293,4.344,28.687,29.414,93.953,103.065,Agtron 55
66.378,35.89,62.981,100.262,36.248,18.601,24.321,30.249,235.781,7.145,93.651,12.449,168.243,100.262,67.942,1.723,26.993,30.251,90.785,105.457,Agtron 55
62.405,36.031,58.937,92.246,35.557,21.046,27.169,31.84,238.086,7.482,87.927,11.945,159.588,92.248,65.177,2.919,28.183,31.845,91.072,106.085,Agtron 55
62.208,37.253,60.843,88.529,39.279,30.829,33.909,34.799,236.019,5.924,86.161,13.733,156.211,88.538,64.767,3.535,34.63,34.841,93.953,103.065,Agtron 65
71.724,36.408,68.633,110.13,40.818,19.779,26.968,33.882,235.781,7.145,99.67,12.936,175.945,110.13,71.455,2.125,26.735,33.882,90.785,105.457,Agtron 65
67.174,35.429,65.555,100.538,35.419,17.219,23.33,28.27,238.086,7.482,94.258,13.76,168.476,100.538,66.774,1.78,23.373,28.272,91.072,106.085,Agtron 65
59.948,34.097,58.699,87.049,34.89,22.024,27.566,31.666,236.019,5.924,87.081,13.781,160.411,87.052,65.009,2.918,30.274,31.677,93.953,103.065,Agtron 75
74.746,35.09,72.455,116.692,46.496,22.719,31.846,40.223,235.781,7.145,105.115,13.485,185.166,116.693,76.186,2.203,29.183,40.225,90.785,105.457,Agtron 75
68.846,34.062,66.663,105.813,41.714,20.218,29.13,37.168,238.086,7.482,99.046,13.366,177.958,105.813,72.463,1.924,27.451,37.168,91.072,106.085,Agtron 75
36.951,29.802,35.861,45.19,19.361,15.564,17.753,21.141,172.026,5.706,49.891,14.975,89.501,45.195,39.264,21.116,30.365,21.141,69.428,75.722,Agtron 25
37.772,29.93,36.584,46.803,18.792,15.366,17.143,19.62,137.209,2.165,52.621,13.592,97.464,46.806,41.564,16.042,31.179,19.625,56.452,59.159,Agtron 25
28.889,27.537,28.914,30.215,17.136,16.112,17.009,18.123,137.209,2.165,31.165,35.403,27.478,30.612,33.36,46.672,28.376,17.979,56.452,59.159,Agtron 25
41.587,29.162,39.707,55.892,21.712,14.161,17.989,22.967,172.026,5.706,64.208,12.239,124.492,55.894,51.499,10.656,30.188,22.964,69.428,75.722,Agtron 35
44.604,29.156,43.396,61.261,22.755,14.814,18.432,21.831,137.209,2.165,71.466,13.119,140.017,61.261,56.902,4.408,31.776,21.83,56.452,59.159,Agtron 35
