Gray-medio,Gray-papel,Agtron
42.49,237.60,25
49.01,237.60,35
52.17,237.60,45
61.09,237.60,55
66.64,237.60,65
64.52,237.60,75
63.70,237.60,85
38.01,173.21,25
43.53,173.21,35
47.38,173.21,45
53.54,173.21,55
58.92,173.21,65
62.99,173.21,75
67.54,173.21,85
39.79,203.33,25
49.80,203.33,35
55.61,203.33,45
60.35,203.33,55
64.71,203.33,65
65.66,203.33,75
68.54,203.33,85
39.31,199.84,25
47.13,199.84,35
53.94,199.84,45
60.86,199.84,55
67.11,199.84,65
67.78,199.84,75
69.05,199.84,85
18.23,170.96,25
26.06,170.96,35
34.58,170.96,45
43.63,170.96,55
55.12,170.96,65
53.20,170.96,75
57.73,170.96,85
22.16,171.41,25
28.10,171.41,35
34.44,171.41,45
39.88,171.41,55
50.21,171.41,65
48.69,171.41,75
56.52,171.41,85
41.55,167.85,25
44.89,167.85,35
53.81,167.85,45
58.67,167.85,55
65.98,167.85,65
67.16,167.85,75
26.69,155.08,25
23.01,155.08,25
26.69,155.08,35
35.80,155.08,45
41.36,155.08,55
45.72,155.08,65
46.68,155.08,75
51.45,155.08,85
