H-medio,S-medio,V-medio,S-papel,V-papel,Agtron
27,39,20,3,94,25
23,51,25,3,94,35
23,56,27,3,94,45
24,59,33,3,94,55
27,62,35,3,94,65
28,63,34,3,94,75
31,65,33,3,94,85
31,36,18,5,69,25
25,49,22,5,69,35
25,55,25,5,69,45
25,59,29,5,69,55
29,66,31,5,69,65
29,65,33,5,69,75
32,66,35,5,69,85
29,45,19,4,81,25
24,56,26,4,81,35
25,62,30,4,81,45
26,66,33,4,81,55
29,66,34,4,81,65
29,70,35,4,81,75
32,67,36,4,81,85
36,40,19,2,79,25
29,51,24,2,79,35
29,57,28,2,79,45
28,63,32,2,79,55
31,63,35,2,79,65
31,67,36,2,79,75
34,64,35,2,79,85
21,54,10,2,67,25
20,71,15,2,67,35
20,75,21,2,67,45
20,76,27,2,67,55
26,75,31,2,67,65
25,78,31,2,67,75
29,78,33,2,67,85
24,40,11,1,67,25
18,58,16,1,67,35
18,66,20,1,67,45
20,70,23,1,67,55
25,70,28,1,67,65
24,74,28,1,67,75
27,72,31,1,67,85
36,43,19,6,69,25
32,54,22,6,69,35
31,58,27,6,69,45
29,61,31,6,69,55
35,63,34,6,69,65
35,63,34,6,69,75
22,62,15,3,62,25
24,52,12,3,62,25
22,62,15,3,62,35
22,67,20,3,62,45
21,70,24,3,62,55
24,69,26,3,62,65
25,73,27,3,62,75
27,71,29,3,62,85
