R-medio,G-medio,B-medio,S-papel,V-papel,Agtron
51,40,33,3,94,25
63,45,33,3,94,35
70,47,32,3,94,45
83,55,35,3,94,55
89,61,37,3,94,65
87,59,34,3,94,75
85,59,32,3,94,85
45,36,30,5,69,25
56,40,29,5,69,35
63,43,29,5,69,45
73,48,31,5,69,55
80,54,29,5,69,65
85,58,31,5,69,75
90,63,32,5,69,85
49,37,30,4,81,25
66,45,32,4,81,35
76,50,31,4,81,45
84,54,31,4,81,55
88,59,33,4,81,65
90,60,31,4,81,75
91,64,33,4,81,85
47,37,31,2,79,25
61,43,32,2,79,35
72,49,32,2,79,45
83,55,33,2,79,55
89,62,36,2,79,65
92,62,34,2,79,75
90,65,35,2,79,85
25,16,12,2,67,25
39,22,13,2,67,35
53,29,15,2,67,45
68,36,19,2,67,55
79,49,24,2,67,65
80,46,20,2,67,75
83,52,21,2,67,85
28,20,18,1,67,25
40,24,18,1,67,35
51,29,19,1,67,45
59,34,20,1,67,55
72,44,25,1,67,65
72,42,22,1,67,75
79,51,26,1,67,85
49,40,30,6,69,25
57,42,28,6,69,35
70,50,31,6,69,45
78,54,32,6,69,55
86,62,34,6,69,65
86,64,34,6,69,75
38,23,16,3,62,25
30,21,15,3,62,25
38,23,16,3,62,35
52,31,18,3,62,45
62,35,20,3,62,55
66,40,22,3,62,65
68,41,20,3,62,75
73,46,23,3,62,85
